Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Yr
Chris Ford,SG,31,BOS,9,279,9.7,.479,.165,.190,3.6,6.6,5.1,10.2,2.5,1.3,13.2,15.0,,0.1,0.5,0.5,.091,,-0.8,1.5,0.7,0.2,1980
Phil Ford,PG,23,KCK,3,110,17.1,.543,.093,.256,0.0,6.3,2.9,34.4,2.3,0.0,20.1,22.5,,0.1,0.1,0.2,.087,,2.5,-0.1,2.4,0.1,1980
Mike Gale,PG,29,SAS,3,69,15.1,.455,.200,.350,1.5,8.2,4.7,32.0,3.6,0.0,11.5,16.0,,0.1,0.0,0.1,.042,,-1.8,2.0,0.2,0.0,1980
Gus Gerard,SF,26,KCK,3,26,8.2,.425,.000,.400,15.5,17.7,16.5,10.8,0.0,0.0,25.4,25.0,,-0.1,0.0,-0.1,-0.109,,-3.6,-3.4,-7.0,0.0,1980
George Gervin*,SG,27,SAS,3,122,28.2,.573,.027,.405,7.7,10.2,8.9,18.3,2.0,1.4,9.4,33.4,,0.5,0.0,0.5,.181,,6.4,0.4,6.8,0.3,1980
Jack Givens,SF,23,ATL,4,36,-2.5,.214,.000,.000,2.9,13.1,7.7,12.3,2.8,0.0,17.6,20.3,,-0.2,0.0,-0.2,-0.213,,-10.1,-1.0,-11.1,-0.1,1980
Kevin Grevey,SF,26,WSB,2,72,21.0,.645,.333,.133,1.4,7.7,4.5,17.9,3.4,1.5,11.2,20.3,,0.2,0.0,0.3,.168,,4.4,3.2,7.6,0.2,1980
Paul Griffin,C,26,SAS,3,69,9.0,.601,.000,.429,4.5,19.7,11.8,11.8,0.0,0.8,29.6,14.5,,0.0,0.0,0.0,-0.016,,-5.1,-0.5,-5.6,-0.1,1980
Bob Gross,SF,26,POR,3,51,6.3,.515,.000,.667,2.2,6.9,4.5,10.0,1.0,0.0,20.5,12.3,,0.0,0.0,0.0,.023,,-4.0,0.0,-4.0,0.0,1980
Ernie Grunfeld,SF,24,KCK,3,32,9.9,.533,.000,.333,3.1,0.0,1.7,0.0,1.6,0.0,0.0,13.3,,0.0,0.0,0.1,.081,,-1.3,-0.4,-1.7,0.0,1980
Steve Hawes,PF,29,ATL,5,149,15.6,.531,.000,.439,9.1,17.5,13.1,12.6,3.1,0.4,14.1,16.4,,0.2,0.2,0.4,.130,,1.0,1.5,2.5,0.2,1980
Elvin Hayes*,PF,34,WSB,2,92,13.5,.441,.000,.244,11.3,14.4,12.8,9.7,0.0,2.4,8.1,22.0,,0.0,0.0,0.0,.017,,-0.6,-1.8,-2.5,0.0,1980
Spencer Haywood*,PF,30,LAL,11,145,8.2,.525,.019,.302,10.5,8.8,9.6,3.7,0.0,2.3,25.0,21.8,,-0.1,0.1,0.0,-0.014,,-3.0,-3.0,-6.0,-0.1,1980
Gar Heard,PF,31,PHO,8,223,10.9,.439,.000,.268,9.4,15.5,12.5,6.6,1.9,2.7,11.3,13.0,,0.1,0.2,0.2,.054,,-1.4,0.4,-1.0,0.1,1980
Gerald Henderson,PG,24,BOS,9,101,11.8,.459,.054,.541,4.5,6.8,5.6,16.7,2.0,0.0,13.3,22.1,,0.0,0.1,0.1,.066,,0.1,-0.7,-0.6,0.0,1980
