Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Kevin Kunnert,C,25,HOU,12,,27.3,4.3,8.7,.490,,,,4.3,8.7,.490,.490,1.0,1.9,.522,4.0,4.9,8.9,1.2,0.2,0.7,,4.3,9.5,1977
Mitch Kupchak,C,22,WSB,9,,28.0,5.9,10.0,.589,,,,5.9,10.0,.589,.589,4.4,6.6,.678,3.1,4.4,7.6,1.1,0.2,0.3,,3.8,16.2,1977
C.J. Kupec,SF,24,LAL,11,,5.2,0.7,1.6,.444,,,,0.7,1.6,.444,.444,0.5,0.6,.714,0.3,1.2,1.5,0.4,0.3,0.0,,0.6,1.9,1977
Bo Lamar,PG,25,LAL,10,,10.9,1.2,4.1,.293,,,,1.2,4.1,.293,.293,0.9,1.0,.900,0.0,0.9,0.9,1.4,0.3,0.0,,1.2,3.3,1977
John Lambert,PF,24,CLE,3,,6.3,0.7,1.3,.500,,,,0.7,1.3,.500,.500,0.0,0.0,,0.7,0.3,1.0,0.0,0.7,0.0,,1.3,1.3,1977
Bob Lanier*,C,28,DET,3,,39.3,11.3,18.0,.630,,,,11.3,18.0,.630,.630,5.3,6.3,.842,4.3,12.3,16.7,2.0,1.0,2.3,,3.3,28.0,1977
John Lucas,SG,23,HOU,12,,35.8,6.3,11.6,.540,,,,6.3,11.6,.540,.540,2.2,2.8,.765,0.3,2.4,2.8,6.9,2.0,0.3,,2.8,14.7,1977
Maurice Lucas,PF,24,POR,19,,38.5,8.6,16.6,.519,,,,8.6,16.6,.519,.519,3.9,5.3,.743,2.3,7.6,9.9,4.2,1.5,1.2,,4.2,21.2,1977
Moses Malone*,C,21,HOU,12,,43.2,6.8,13.5,.500,,,,6.8,13.5,.500,.500,5.3,7.6,.692,7.0,9.9,16.9,0.6,1.1,1.8,,3.5,18.8,1977
Jack Marin,SF,32,CHI,3,,17.7,2.7,4.3,.615,,,,2.7,4.3,.615,.615,0.0,0.3,.000,0.0,0.3,0.3,0.7,0.0,0.0,,2.0,5.3,1977
Scott May,SF,22,CHI,3,,32.3,3.3,8.7,.385,,,,3.3,8.7,.385,.385,4.0,5.0,.800,2.0,2.7,4.7,1.0,2.7,0.7,,3.3,10.7,1977
Ted McClain,SG,30,DEN,6,,28.3,3.2,7.7,.413,,,,3.2,7.7,.413,.413,1.0,1.3,.750,0.8,1.5,2.3,4.5,1.7,0.3,,2.0,7.3,1977
George McGinnis*,PF,26,PHI,19,,31.7,5.4,14.4,.374,,,,5.4,14.4,.374,.374,3.4,6.0,.570,3.3,7.2,10.4,3.6,1.2,0.3,,4.4,14.2,1977
Larry McNeill,PF,26,GSW,6,,3.5,1.2,1.7,.700,,,,1.2,1.7,.700,.700,0.3,0.7,.500,0.3,0.0,0.3,0.0,0.2,0.0,,0.3,2.7,1977
John Mengelt,SG,27,CHI,3,,22.3,4.7,8.7,.538,,,,4.7,8.7,.538,.538,3.3,3.7,.909,0.0,1.3,1.3,2.7,1.3,0.0,,1.0,12.7,1977
Steve Mix,SF,29,PHI,19,,21.7,2.9,5.6,.523,,,,2.9,5.6,.523,.523,1.9,2.4,.822,1.2,2.2,3.4,2.3,1.1,0.2,,2.1,7.8,1977
Eric Money,PG,21,DET,3,,34.3,7.3,14.7,.500,,,,7.3,14.7,.500,.500,3.7,4.3,.846,0.7,2.3,3.0,6.7,2.0,0.0,,3.0,18.3,1977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977
Calvin Murphy*,PG,28,HOU,12,,35.0,8.5,17.8,.479,,,,8.5,17.8,.479,.479,2.3,2.5,.933,0.6,1.0,1.6,6.3,1.6,0.2,,3.9,19.3,1977
Lloyd Neal,PF,26,POR,19,,10.8,1.6,3.3,.476,,,,1.6,3.3,.476,.476,0.9,1.4,.654,1.1,2.6,3.7,0.9,0.1,0.4,,1.8,4.1,1977
Johnny Neumann,SG,25,LAL,6,,11.3,1.8,4.8,.379,,,,1.8,4.8,.379,.379,0.3,0.7,.500,0.0,0.3,0.3,1.5,0.5,0.3,,2.3,4.0,1977
Mike Newlin,SG,28,HOU,12,,26.3,6.3,11.9,.524,,,,6.3,11.9,.524,.524,1.8,2.3,.750,0.7,2.2,2.8,4.4,1.3,0.0,,3.1,14.3,1977
Mark Olberding,PF,20,SAS,2,,21.0,2.5,4.5,.556,,,,2.5,4.5,.556,.556,1.5,3.0,.500,1.0,2.5,3.5,1.0,0.0,0.5,,4.0,6.5,1977
Tom Owens,C,27,HOU,3,,2.3,0.0,0.3,.000,,,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,,0.3,0.0,1977
Robert Parish*,C,23,GSW,10,,23.9,5.2,10.8,.481,,,,5.2,10.8,.481,.481,1.7,2.6,.654,4.3,6.0,10.3,1.1,0.7,1.1,,4.2,12.1,1977
Sonny Parker,SF,21,GSW,10,,12.0,1.9,3.6,.528,,,,1.9,3.6,.528,.528,0.4,0.4,1.000,0.9,1.9,2.8,0.9,0.5,0.2,,0.9,4.2,1977
Billy Paultz,C,28,SAS,2,,37.0,6.0,12.0,.500,,,,6.0,12.0,.500,.500,5.0,6.5,.769,0.5,8.0,8.5,2.5,1.0,0.5,,1.5,17.0,1977
Cliff Pondexter,PF,22,CHI,3,,4.0,0.0,0.3,.000,,,,0.0,0.3,.000,.000,0.7,0.7,1.000,0.0,1.0,1.0,0.3,0.0,0.0,,0.0,0.7,1977
Howard Porter,PF,28,DET,3,,32.7,9.7,15.7,.617,,,,9.7,15.7,.617,.617,0.7,1.3,.500,2.0,3.7,5.7,0.7,0.7,1.3,,2.3,20.0,1977
Kevin Porter,PG,26,DET,3,,20.3,1.7,4.7,.357,,,,1.7,4.7,.357,.357,2.0,3.0,.667,0.3,1.7,2.0,5.7,0.3,0.0,,2.3,5.3,1977
Jim Price,PG,27,DEN,6,,26.3,3.2,8.8,.358,,,,3.2,8.8,.358,.358,0.8,1.3,.625,1.0,3.0,4.0,4.2,2.0,0.2,,3.0,7.2,1977
Clifford Ray,C,28,GSW,10,,30.4,4.2,7.6,.553,,,,4.2,7.6,.553,.553,1.6,2.8,.571,5.4,6.1,11.5,1.5,0.4,0.9,,3.7,10.0,1977
Mike Riordan,SF,31,WSB,2,,4.0,0.0,1.0,.000,,,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,,0.5,0.0,1977
Marshall Rogers,PG,23,GSW,1,,3.0,0.0,2.0,.000,,,,0.0,2.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,2.0,1977
Curtis Rowe,PF,27,BOS,9,,26.3,3.6,7.6,.471,,,,3.6,7.6,.471,.471,2.4,3.2,.759,3.2,4.8,8.0,1.1,0.1,0.4,,3.2,9.6,1977
Campy Russell,SF,25,CLE,3,,33.3,7.0,18.0,.389,,,,7.0,18.0,.389,.389,3.7,5.0,.733,3.3,5.3,8.7,3.3,1.0,0.3,,3.3,17.7,1977
Cazzie Russell,SF,32,LAL,11,,34.7,5.9,14.3,.414,,,,5.9,14.3,.414,.414,4.0,4.5,.880,2.0,2.4,4.4,2.3,1.5,0.1,,3.0,15.8,1977
