Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Terry Cummings,PF,36,NYK,8,1,15.0,1.9,4.3,.441,0.0,0.0,,1.9,4.3,.441,.441,0.3,1.0,.250,1.4,3.0,4.4,0.6,0.5,0.3,0.9,2.9,4.0,1998
Bill Curley,PF,25,MIN,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
Dell Curry,SG,33,CHH,9,0,19.0,2.3,5.8,.404,0.4,1.8,.250,1.9,4.0,.472,.442,0.7,0.8,.857,0.7,1.4,2.1,1.1,0.8,0.3,0.6,2.3,5.8,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998
Antonio Davis,PF,29,IND,16,0,28.7,2.6,5.7,.462,0.0,0.0,,2.6,5.7,.462,.462,3.9,5.9,.670,2.3,4.4,6.8,0.9,0.8,1.1,1.6,4.1,9.2,1998
Dale Davis,C,28,IND,16,16,29.1,3.5,5.4,.651,0.0,0.0,,3.5,5.4,.651,.651,1.8,4.0,.453,2.8,4.8,7.5,0.8,0.3,1.1,1.3,2.6,8.8,1998
Vinny Del Negro,SG,31,SAS,9,3,31.4,4.3,9.0,.481,0.2,1.1,.200,4.1,7.9,.521,.494,1.8,1.9,.941,0.2,2.4,2.7,3.2,0.9,0.0,1.4,3.3,10.7,1998
Vlade Divac*,C,29,CHH,9,9,38.3,4.7,9.7,.483,0.0,0.1,.000,4.7,9.6,.488,.483,2.2,3.7,.606,2.8,8.1,10.9,3.4,0.8,1.6,2.4,3.8,11.6,1998
Sherman Douglas,PG,31,NJN,3,2,41.7,7.7,14.7,.523,0.7,1.7,.400,7.0,13.0,.538,.545,2.3,3.3,.700,0.3,2.3,2.7,8.3,2.0,0.0,4.3,1.7,18.3,1998
Clyde Drexler*,SG,35,HOU,5,5,36.4,4.2,13.6,.309,1.0,5.2,.192,3.2,8.4,.381,.346,5.6,7.4,.757,1.8,3.6,5.4,4.6,1.6,0.6,2.6,3.0,15.0,1998
Chris Dudley,C,32,NYK,6,3,8.8,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.3,0.7,.500,1.0,2.0,3.0,0.0,0.3,0.2,0.3,2.7,1.3,1998
Tim Duncan*,PF,21,SAS,9,9,41.6,8.1,15.6,.521,0.0,0.1,.000,8.1,15.4,.525,.521,4.4,6.7,.667,2.2,6.8,9.0,1.9,0.6,2.6,2.8,2.7,20.7,1998
Howard Eisley,PG,25,UTA,20,0,18.3,2.3,6.3,.368,0.4,1.4,.296,1.9,4.9,.388,.400,0.6,0.7,.923,0.2,1.8,2.0,4.1,0.6,0.3,1.6,2.1,5.6,1998
Mario Elie,SF,34,HOU,5,1,26.6,2.4,5.4,.444,0.6,1.8,.333,1.8,3.6,.500,.500,1.2,1.8,.667,0.6,2.0,2.6,1.2,0.4,0.0,1.0,2.0,6.6,1998
Dale Ellis,SF,37,SEA,10,0,17.0,2.0,5.3,.377,1.1,2.6,.423,0.9,2.7,.333,.481,0.5,0.6,.833,0.4,0.9,1.3,0.6,0.2,0.0,0.2,1.0,5.6,1998
Brian Evans,SF,24,NJN,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1998
Patrick Ewing*,C,35,NYK,4,4,33.0,5.0,14.0,.357,0.0,0.0,,5.0,14.0,.357,.357,4.0,6.8,.593,2.3,5.8,8.0,1.3,0.8,1.3,2.5,4.0,14.0,1998
Danny Ferry,PF,31,CLE,3,0,3.3,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1998
Derek Fisher,PG,23,LAL,13,13,21.4,2.1,5.2,.397,0.5,1.5,.300,1.6,3.7,.438,.441,1.4,2.2,.621,0.2,1.8,1.9,3.8,1.3,0.0,1.2,2.5,6.0,1998
Greg Foster,C,29,UTA,20,16,16.8,2.0,4.3,.453,0.1,0.1,.500,1.9,4.2,.452,.459,0.2,0.3,.600,1.0,2.4,3.4,0.3,0.1,0.3,0.9,2.8,4.1,1998
Rick Fox,SF,28,LAL,13,13,32.9,3.9,8.8,.447,1.6,4.1,.396,2.3,4.7,.492,.539,1.5,1.8,.826,1.4,3.1,4.5,3.9,0.8,0.2,1.6,3.6,10.9,1998
Kevin Garnett*,PF,21,MIN,5,5,38.8,7.2,15.0,.480,0.0,0.0,,7.2,15.0,.480,.480,1.4,1.8,.778,3.4,6.2,9.6,4.0,0.8,2.4,4.4,3.4,15.8,1998
Chris Gatling,PF,30,NJN,3,1,27.0,6.3,12.7,.500,0.0,0.0,,6.3,12.7,.500,.500,2.7,4.0,.667,2.0,1.3,3.3,0.7,0.7,0.7,1.0,3.0,15.3,1998
Reggie Geary,PG,24,SAS,7,0,6.6,0.4,1.0,.429,0.1,0.6,.250,0.3,0.4,.667,.500,0.3,0.6,.500,0.0,0.3,0.3,0.9,0.1,0.0,0.3,1.4,1.3,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998
Matt Geiger,C,28,CHH,4,0,5.5,0.3,1.5,.167,0.0,0.0,,0.3,1.5,.167,.167,0.0,0.0,,0.8,0.5,1.3,0.3,0.0,0.0,0.3,0.5,0.5,1998
Kendall Gill,SF,29,NJN,3,3,33.3,6.0,13.3,.450,0.0,0.0,,6.0,13.3,.450,.450,2.3,2.7,.875,1.0,3.3,4.3,1.0,1.3,0.3,1.3,5.0,14.3,1998
Brian Grant,SF,25,POR,4,4,33.8,4.8,9.0,.528,0.0,0.0,,4.8,9.0,.528,.528,3.8,4.5,.833,4.5,6.3,10.8,1.5,1.0,0.8,1.3,5.0,13.3,1998
Gary Grant,PG,32,POR,4,0,6.8,0.5,1.8,.286,0.3,1.0,.250,0.3,0.8,.333,.357,0.0,0.0,,0.5,0.8,1.3,1.8,0.3,0.3,0.5,0.5,1.3,1998
Tom Hammonds,PF,30,MIN,5,1,22.6,2.4,5.6,.429,0.0,0.0,,2.4,5.6,.429,.429,2.4,3.2,.750,2.0,2.4,4.4,0.4,0.0,0.2,0.8,3.6,7.2,1998
Tim Hardaway,PG,31,MIA,5,5,44.4,8.4,18.8,.447,3.4,7.8,.436,5.0,11.0,.455,.537,5.8,7.4,.784,0.6,2.8,3.4,6.6,1.2,0.0,3.6,1.8,26.0,1998
Ron Harper,PG,34,CHI,21,21,26.8,2.7,5.8,.459,0.2,0.9,.263,2.4,4.9,.495,.480,1.1,1.9,.615,1.0,2.6,3.7,2.3,1.0,0.9,0.9,2.0,6.7,1998
Othella Harrington,PF,24,HOU,3,0,7.7,2.0,4.0,.500,0.0,0.3,.000,2.0,3.7,.545,.500,1.3,1.7,.800,1.0,1.3,2.3,0.0,0.0,0.3,0.0,0.3,5.3,1998
Lucious Harris,SG,27,NJN,3,0,17.3,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,1.7,2.0,.833,0.3,2.3,2.7,0.3,0.7,0.0,0.7,3.7,3.0,1998
Hersey Hawkins,SG,31,SEA,10,10,33.7,4.1,8.8,.466,1.7,4.3,.395,2.4,4.5,.533,.563,3.5,4.0,.875,1.7,4.0,5.7,3.6,1.8,0.1,0.9,2.4,13.4,1998
Alan Henderson,PF,25,ATL,4,4,31.5,5.0,9.5,.526,0.0,0.3,.000,5.0,9.3,.541,.526,2.8,4.5,.611,2.5,3.0,5.5,1.0,0.8,0.3,1.5,3.3,12.8,1998
Cedric Henderson,SF,22,CLE,4,4,39.3,2.8,7.0,.393,0.0,0.3,.000,2.8,6.8,.407,.393,2.0,3.3,.615,1.0,3.3,4.3,2.8,1.5,0.0,3.3,3.5,7.5,1998
Carl Herrera,PF,31,SAS,5,0,5.0,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,.333,0.0,0.0,,0.0,0.8,0.8,0.2,0.0,0.0,0.2,0.8,0.4,1998
Fred Hoiberg,SG,25,IND,2,0,10.0,1.5,4.0,.375,0.5,1.0,.500,1.0,3.0,.333,.438,1.0,1.0,1.000,0.5,1.5,2.0,0.5,0.5,0.0,0.0,1.0,4.5,1998
Jeff Hornacek,SG,34,UTA,20,20,31.8,3.7,8.9,.416,0.7,1.5,.467,3.0,7.4,.405,.455,2.8,3.3,.846,0.4,2.2,2.5,3.2,1.0,0.2,1.6,2.6,10.9,1998
Robert Horry,PF,27,LAL,13,13,32.5,3.0,5.4,.557,0.5,1.3,.353,2.5,4.1,.623,.600,2.2,3.2,.683,2.6,3.8,6.5,3.1,1.1,1.1,1.4,3.5,8.6,1998
Allan Houston,SG,26,NYK,10,10,40.3,7.6,17.5,.434,0.9,2.3,.391,6.7,15.2,.441,.460,5.0,5.8,.862,0.6,3.2,3.8,2.8,0.5,0.1,3.2,2.7,21.1,1998
Zydrunas Ilgauskas,C,22,CLE,4,4,36.8,7.0,12.3,.571,0.0,0.0,,7.0,12.3,.571,.571,3.3,6.3,.520,3.5,4.0,7.5,0.5,0.5,1.3,2.5,5.5,17.3,1998
Jaren Jackson,SG,30,SAS,9,8,35.4,3.3,9.8,.341,2.0,6.6,.305,1.3,3.2,.414,.443,1.6,2.1,.737,0.4,3.9,4.3,1.6,0.6,0.1,1.3,3.4,10.2,1998
Mark Jackson,PG,32,IND,16,16,30.9,3.3,7.9,.417,0.9,2.3,.378,2.4,5.6,.433,.472,1.7,2.1,.794,1.1,3.4,4.6,8.3,1.4,0.0,2.9,1.8,9.2,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998
Avery Johnson,PG,32,SAS,9,9,38.0,6.8,11.2,.604,0.0,0.2,.000,6.8,11.0,.616,.604,3.8,5.7,.667,0.3,1.1,1.4,6.1,1.0,0.0,2.3,3.0,17.3,1998
Eddie Johnson,SF,38,HOU,5,0,17.8,1.8,5.4,.333,0.6,2.0,.300,1.2,3.4,.353,.389,1.4,1.6,.875,0.8,0.8,1.6,0.2,0.0,0.0,0.6,2.0,5.6,1998
Kevin Johnson,PG,31,PHO,4,1,30.5,5.8,10.5,.548,0.3,1.0,.250,5.5,9.5,.579,.560,2.0,3.0,.667,0.5,1.8,2.3,4.8,0.5,0.3,1.5,1.5,13.8,1998
Larry Johnson,SF,28,NYK,8,8,38.8,6.5,13.4,.486,0.3,1.3,.200,6.3,12.1,.515,.495,4.6,6.3,.740,3.1,3.5,6.6,1.6,1.3,0.4,3.1,3.8,17.9,1998
Charles Jones,PF,40,HOU,4,0,2.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,0.5,1.000,0.3,0.5,0.8,0.3,0.0,0.0,0.0,1.0,0.5,1998
Eddie Jones,SG,26,LAL,13,13,36.6,5.3,11.4,.466,1.5,3.7,.417,3.8,7.7,.490,.534,4.8,5.8,.829,0.9,3.0,3.9,2.5,2.0,1.6,1.3,2.8,17.0,1998
Michael Jordan*,SG,34,CHI,21,21,41.5,11.6,25.0,.462,0.6,2.0,.302,11.0,23.0,.476,.474,8.6,10.6,.812,1.6,3.5,5.1,3.5,1.5,0.6,2.1,2.2,32.4,1998
Reggie Jordan,SG,30,MIN,2,0,14.5,2.5,4.0,.625,0.5,0.5,1.000,2.0,3.5,.571,.688,0.5,1.0,.500,1.5,3.0,4.5,1.5,0.5,0.0,0.0,2.5,6.0,1998
Adam Keefe,C,27,UTA,15,10,10.3,0.7,1.9,.345,0.0,0.0,,0.7,1.9,.345,.345,0.7,1.1,.647,0.9,1.4,2.3,0.1,0.3,0.1,0.2,1.2,2.1,1998
Shawn Kemp,PF,28,CLE,4,4,38.0,8.3,17.8,.465,0.0,0.0,,8.3,17.8,.465,.465,9.5,11.3,.844,4.0,6.3,10.3,2.0,1.3,1.0,4.0,3.0,26.0,1998
Steve Kerr,PG,32,CHI,21,0,19.8,1.6,3.6,.434,0.9,2.0,.463,0.7,1.7,.400,.559,0.9,1.0,.818,0.4,0.4,0.8,1.7,0.3,0.0,0.2,1.2,4.9,1998
Jerome Kersey,SF,35,SEA,10,5,21.3,3.1,7.2,.431,0.0,0.3,.000,3.1,6.9,.449,.431,1.6,1.9,.842,1.7,2.3,4.0,0.9,1.0,1.0,1.3,3.2,7.8,1998
Jason Kidd*,PG,24,PHO,4,4,42.8,5.5,14.5,.379,0.0,1.8,.000,5.5,12.8,.431,.379,3.3,4.0,.813,1.3,4.5,5.8,7.8,4.0,0.5,3.0,3.3,14.3,1998
Kerry Kittles,SG,23,NJN,3,3,42.0,5.7,13.3,.425,1.7,4.3,.385,4.0,9.0,.444,.488,3.3,3.7,.909,0.0,5.0,5.0,2.7,1.3,0.7,2.3,4.0,16.3,1998
Brevin Knight,PG,22,CLE,4,4,33.0,1.5,5.3,.286,0.0,0.0,,1.5,5.3,.286,.286,1.5,2.5,.600,0.0,4.0,4.0,5.8,2.5,0.3,2.0,4.0,4.5,1998
Toni Kukoč,SF,29,CHI,21,17,30.3,5.0,10.4,.486,1.1,2.9,.377,4.0,7.5,.529,.539,1.9,3.0,.645,1.1,2.7,3.9,2.9,1.2,0.5,1.3,2.7,13.1,1998
Christian Laettner,PF,28,ATL,4,0,21.8,3.0,8.8,.343,0.0,0.8,.000,3.0,8.0,.375,.343,3.8,4.3,.882,0.8,3.5,4.3,1.0,1.5,0.3,2.0,4.0,9.8,1998
Voshon Lenard,SG,24,MIA,5,5,37.2,4.8,10.4,.462,1.8,5.2,.346,3.0,5.2,.577,.548,3.0,4.0,.750,0.2,3.6,3.8,1.4,0.2,0.4,2.2,4.0,14.4,1998
Alton Lister,C,39,POR,2,0,5.5,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.5,1.0,2.5,1.0,1998
Brad Lohaus,PF,33,SAS,4,0,2.5,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.3,0.3,0.0,0.0,0.0,0.0,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998
Luc Longley,C,29,CHI,18,16,25.3,3.0,6.7,.450,0.0,0.0,,3.0,6.7,.450,.450,1.9,2.2,.872,1.9,3.1,5.0,1.9,0.7,0.8,2.0,4.1,7.9,1998
Dan Majerle,SG,32,MIA,2,2,31.0,1.5,4.0,.375,1.0,3.0,.333,0.5,1.0,.500,.500,0.5,1.0,.500,0.5,2.0,2.5,2.5,2.0,0.5,0.5,1.5,4.5,1998
Karl Malone*,PF,34,UTA,20,20,39.8,9.9,21.0,.471,0.0,0.2,.000,9.9,20.9,.475,.471,6.5,8.3,.788,2.4,8.5,10.9,3.4,1.1,1.0,3.0,3.5,26.3,1998
Matt Maloney,PG,26,HOU,5,5,33.0,2.0,6.0,.333,1.0,4.0,.250,1.0,2.0,.500,.417,1.6,1.8,.889,0.0,1.6,1.6,3.6,0.4,0.4,0.8,2.2,6.6,1998
Stephon Marbury,PG,20,MIN,5,5,41.8,4.4,14.4,.306,1.4,5.0,.280,3.0,9.4,.319,.354,3.6,4.6,.783,1.0,2.2,3.2,7.6,2.4,0.0,3.6,3.2,13.8,1998
Jamal Mashburn,SF,25,MIA,5,3,25.8,2.4,9.0,.267,0.8,2.2,.364,1.6,6.8,.235,.311,0.6,0.8,.750,0.8,3.6,4.4,1.8,0.6,0.2,1.8,4.2,6.2,1998
Anthony Mason,PF,31,CHH,9,9,40.8,6.3,11.0,.576,0.0,0.1,.000,6.3,10.9,.582,.576,2.8,4.7,.595,1.9,6.0,7.9,3.4,0.9,0.0,2.4,1.9,15.4,1998
George McCloud,SF,30,PHO,4,3,31.5,5.3,10.3,.512,3.0,5.3,.571,2.3,5.0,.450,.659,0.8,1.0,.750,0.5,4.3,4.8,2.0,0.3,0.3,1.5,3.8,14.3,1998
Antonio McDyess,PF,23,PHO,4,4,36.8,7.8,16.3,.477,0.0,0.0,,7.8,16.3,.477,.477,2.3,3.5,.643,4.5,8.8,13.3,1.0,0.5,1.5,1.3,3.0,17.8,1998
Jim McIlvaine,C,25,SEA,6,4,9.8,1.0,3.3,.300,0.0,0.2,.000,1.0,3.2,.316,.300,0.2,0.3,.500,1.2,0.5,1.7,0.2,0.3,1.0,0.2,3.7,2.2,1998
Derrick McKey,SF,31,IND,15,0,18.9,1.5,4.6,.333,0.2,0.7,.300,1.3,3.9,.339,.355,1.2,1.5,.783,0.5,2.1,2.7,0.7,0.6,0.5,0.7,3.3,4.5,1998
Nate McMillan,SG,33,SEA,7,0,14.1,0.9,2.6,.333,0.3,1.7,.167,0.6,0.9,.667,.389,0.3,0.3,1.000,0.3,2.0,2.3,2.1,0.4,0.3,0.3,2.4,2.3,1998
Marko Milič,SF,20,PHO,2,0,2.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,2.0,1998
Anthony Miller,PF,26,ATL,4,0,8.3,0.8,2.0,.375,0.0,0.0,,0.8,2.0,.375,.375,0.5,0.5,1.000,1.3,1.0,2.3,0.3,0.5,0.3,0.8,1.3,2.0,1998
Reggie Miller*,SG,32,IND,16,16,39.3,6.1,14.4,.426,2.4,5.9,.400,3.8,8.4,.444,.509,5.3,5.9,.904,0.3,1.4,1.8,2.0,1.2,0.2,1.7,1.6,19.9,1998
Chris Mills,SF,28,NYK,9,2,18.7,1.7,3.9,.429,0.4,1.1,.400,1.2,2.8,.440,.486,1.1,1.3,.833,0.9,2.1,3.0,0.6,0.9,0.2,0.7,2.3,4.9,1998
Terry Mills,PF,30,MIA,2,0,5.5,0.5,2.5,.200,0.5,2.0,.250,0.0,0.5,.000,.300,0.5,1.0,.500,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,2.0,1998
Sam Mitchell,SF,34,MIN,5,5,35.4,5.2,11.6,.448,0.6,2.8,.214,4.6,8.8,.523,.474,3.4,3.8,.895,1.4,4.0,5.4,1.6,0.2,0.2,1.0,3.6,14.4,1998
Chris Morris,SF,32,UTA,17,0,14.1,1.6,4.1,.406,0.4,1.4,.304,1.2,2.7,.457,.457,0.8,1.2,.700,0.5,2.3,2.8,0.6,0.3,0.2,0.5,2.2,4.5,1998
Alonzo Mourning*,C,27,MIA,4,4,34.5,7.3,14.0,.518,0.0,0.0,,7.3,14.0,.518,.518,4.8,7.3,.655,2.5,6.0,8.5,1.3,0.8,2.5,2.0,4.5,19.3,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998
Chris Mullin*,SF,34,IND,16,16,25.8,3.3,7.1,.460,1.3,3.3,.385,2.0,3.8,.525,.549,1.1,1.3,.857,0.8,2.8,3.6,1.4,0.9,0.6,1.5,2.0,8.9,1998
Eric Murdock,PG,29,MIA,5,0,25.0,2.2,6.4,.344,0.4,1.8,.222,1.8,4.6,.391,.375,4.6,5.6,.821,0.6,3.4,4.0,3.0,1.4,0.0,0.8,2.2,9.4,1998
Dikembe Mutombo*,C,31,ATL,4,4,34.0,2.8,6.0,.458,0.0,0.0,,2.8,6.0,.458,.458,2.5,4.0,.625,3.3,9.5,12.8,0.3,0.3,2.3,2.0,2.5,8.0,1998
Steve Nash*,PG,23,PHO,4,1,12.8,2.0,4.5,.444,0.3,1.3,.200,1.8,3.3,.538,.472,1.3,2.0,.625,0.5,2.0,2.5,1.8,0.5,0.0,0.8,1.8,5.5,1998
Jermaine O'Neal,PF,19,POR,1,0,3.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1998
Shaquille O'Neal*,C,25,LAL,13,13,38.5,12.2,19.8,.612,0.0,0.0,,12.2,19.8,.612,.612,6.2,12.2,.503,3.7,6.5,10.2,2.9,0.5,2.6,3.3,3.2,30.5,1998
Charles Oakley,PF,34,NYK,10,10,34.2,2.9,7.1,.408,0.0,0.0,,2.9,7.1,.408,.408,2.3,2.5,.920,2.1,6.4,8.5,1.4,1.1,0.2,1.3,3.8,8.1,1998
Hakeem Olajuwon*,C,35,HOU,5,5,38.0,7.8,19.8,.394,0.0,0.2,.000,7.8,19.6,.398,.394,4.8,6.6,.727,1.8,9.0,10.8,2.4,1.0,3.2,2.6,3.6,20.4,1998
Greg Ostertag,C,24,UTA,19,1,17.7,1.4,2.4,.565,0.0,0.0,,1.4,2.4,.565,.565,0.6,1.3,.480,1.3,2.9,4.3,0.3,0.4,1.9,0.6,2.7,3.4,1998
Cherokee Parks,C,25,MIN,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
Gary Payton*,PG,29,SEA,10,10,42.8,8.7,18.3,.475,1.9,5.0,.380,6.8,13.3,.511,.527,4.7,5.0,.940,0.9,2.5,3.4,7.0,1.8,0.1,2.6,3.1,24.0,1998
Anthony Peeler,SG,28,MIN,5,5,42.6,6.2,15.4,.403,3.0,6.2,.484,3.2,9.2,.348,.500,0.8,0.8,1.000,3.2,4.4,7.6,3.6,2.0,0.6,1.6,3.0,16.2,1998
Will Perdue,C,32,SAS,9,7,21.2,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,2.0,2.3,.857,2.7,4.0,6.7,0.1,0.7,1.0,1.2,2.9,4.0,1998
Sam Perkins,PF,36,SEA,10,1,21.0,1.6,4.2,.381,1.0,2.4,.417,0.6,1.8,.333,.500,1.2,2.0,.600,0.6,2.6,3.2,1.4,0.3,0.5,1.1,2.2,5.4,1998
Chuck Person,PF,33,SAS,9,0,21.8,2.0,5.9,.340,1.6,4.4,.350,0.4,1.4,.308,.472,0.2,0.2,1.000,0.0,3.0,3.0,0.8,0.4,0.0,0.7,1.7,5.8,1998
Wesley Person,SG,26,CLE,4,4,34.0,2.8,7.3,.379,1.8,4.8,.368,1.0,2.5,.400,.500,0.8,1.0,.750,0.5,1.8,2.3,2.5,0.8,0.0,0.3,1.3,8.0,1998
Bobby Phills,SG,28,CHH,9,9,29.9,2.8,7.1,.391,0.6,1.9,.294,2.2,5.2,.426,.430,0.2,0.9,.250,0.4,2.1,2.6,2.7,1.1,0.2,1.4,2.7,6.3,1998
Scottie Pippen*,SF,32,CHI,21,21,39.8,5.8,14.0,.415,0.9,3.8,.228,5.0,10.2,.484,.446,4.3,6.4,.679,2.3,4.8,7.1,5.2,2.1,1.0,2.4,3.1,16.8,1998
Mark Pope,SF,25,IND,7,0,6.0,0.6,0.9,.667,0.0,0.1,.000,0.6,0.7,.800,.667,0.1,0.1,1.000,0.3,0.4,0.7,0.1,0.1,0.0,0.1,1.1,1.3,1998
Terry Porter,PG,34,MIN,5,4,37.6,5.4,12.6,.429,2.0,5.0,.400,3.4,7.6,.447,.508,3.0,3.6,.833,1.4,3.6,5.0,3.2,1.0,0.0,0.8,2.0,15.8,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998
Vitaly Potapenko,C,22,CLE,4,0,17.5,1.5,3.8,.400,0.0,0.0,,1.5,3.8,.400,.400,1.3,2.5,.500,0.8,2.0,2.8,0.8,0.5,0.0,1.5,2.0,4.3,1998
Brent Price,PG,29,HOU,5,0,15.0,1.2,3.0,.400,1.0,2.6,.385,0.2,0.4,.500,.567,0.4,0.6,.667,0.2,1.6,1.8,1.2,0.8,0.0,1.2,2.4,3.8,1998
Eldridge Recasner,SG,30,ATL,4,0,22.3,2.5,6.3,.400,1.8,3.0,.583,0.8,3.3,.231,.540,0.5,0.5,1.000,0.0,1.0,1.0,2.0,0.5,0.0,0.5,1.8,7.3,1998
J.R. Reid,PF,29,CHH,9,0,12.7,1.2,3.1,.393,0.0,0.1,.000,1.2,3.0,.407,.393,0.9,1.1,.800,0.8,1.4,2.2,0.2,0.3,0.2,1.2,2.6,3.3,1998
Rodrick Rhodes,SF,24,HOU,3,0,2.3,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.7,1.3,.500,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.0,2.0,1998
Glen Rice,SF,30,CHH,9,9,41.0,9.1,19.2,.474,1.2,4.0,.306,7.9,15.2,.518,.506,3.3,4.0,.833,1.2,4.4,5.7,1.4,0.6,0.3,1.4,2.9,22.8,1998
Isaiah Rider,SG,26,POR,4,4,41.5,7.0,16.8,.418,0.3,2.8,.091,6.8,14.0,.482,.425,5.0,6.5,.769,1.8,3.3,5.0,4.3,1.3,0.0,4.0,2.8,19.3,1998
Stanley Roberts,C,27,MIN,1,0,8.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,2.0,.500,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1998
Clifford Robinson,SF,31,PHO,4,4,23.0,2.3,8.3,.273,0.0,0.3,.000,2.3,8.0,.281,.273,1.8,2.3,.778,1.5,1.5,3.0,0.8,0.8,0.5,1.3,4.8,6.3,1998
David Robinson*,C,32,SAS,9,9,39.2,6.3,14.9,.425,0.0,0.0,,6.3,14.9,.425,.425,6.8,10.7,.635,4.6,9.6,14.1,2.6,1.2,3.3,2.8,3.1,19.4,1998
Dennis Rodman*,PF,36,CHI,21,9,34.4,1.9,5.0,.371,0.0,0.2,.250,1.8,4.8,.376,.376,1.1,1.8,.605,4.7,7.1,11.8,2.0,0.7,0.6,1.7,4.2,4.9,1998
Sean Rooks,C,28,LAL,4,0,2.8,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.8,0.0,0.5,1.0,1998
Jalen Rose,SF,25,IND,15,0,19.5,3.2,6.7,.480,0.4,1.1,.375,2.8,5.6,.500,.510,1.3,1.8,.741,0.1,1.7,1.8,1.9,0.7,0.4,1.7,2.5,8.1,1998
Malik Rose,PF,23,SAS,5,0,3.6,0.8,1.2,.667,0.0,0.0,,0.8,1.2,.667,.667,0.4,0.8,.500,0.6,0.8,1.4,0.2,0.2,0.0,0.8,0.4,2.0,1998
Donald Royal,SF,31,CHH,4,0,7.0,0.8,1.8,.429,0.0,0.0,,0.8,1.8,.429,.429,0.8,1.0,.750,0.0,1.0,1.0,0.3,0.0,0.0,0.3,1.0,2.3,1998
Bryon Russell,SF,27,UTA,20,13,34.9,3.5,7.4,.469,1.2,3.2,.365,2.3,4.2,.548,.548,2.9,4.1,.716,0.6,4.1,4.7,1.1,1.1,0.3,0.9,2.5,11.0,1998
Arvydas Sabonis*,C,33,POR,4,4,26.8,4.5,10.0,.450,0.3,0.5,.500,4.3,9.5,.447,.463,3.0,3.5,.857,1.8,6.0,7.8,1.5,1.8,0.8,2.5,4.8,12.3,1998
Detlef Schrempf,SF,35,SEA,10,10,37.5,6.4,12.5,.512,0.2,1.4,.143,6.2,11.1,.559,.520,3.1,3.8,.816,1.8,5.9,7.7,3.9,0.7,0.1,2.2,2.1,16.1,1998
Dennis Scott,SF,29,PHO,4,0,15.5,1.8,4.3,.412,0.8,2.0,.375,1.0,2.3,.444,.500,0.0,0.0,,0.5,1.5,2.0,0.3,0.3,0.0,0.5,0.5,4.3,1998
Shawnelle Scott,C,25,CLE,1,0,3.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998
Rony Seikaly,C,32,NJN,3,0,12.3,2.3,3.0,.778,0.0,0.0,,2.3,3.0,.778,.778,1.3,2.0,.667,1.0,2.0,3.0,0.0,0.3,0.0,1.3,1.3,6.0,1998
