Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Yr
Neal Walk,C,26,NYK,3,39,9.7,0.5,,0,0,13.4,7,8.3,1.2,2.7,,,0,0,0,0,-3.3,1.1,-2.2,0,1975
Chet Walker*,SF,34,CHI,13,432,18.2,0.579,,0.457,2.4,12.2,7.2,9.7,1.5,0.1,,,1.3,0.6,1.8,0.205,3.5,-0.2,3.4,0.6,1975
Jimmy Walker,SG,30,KCO,6,225,12.1,0.5,,0.214,0.5,4.1,2.3,13.5,1.1,0.2,,,0.2,0.1,0.2,0.052,0.3,-1.1,-0.8,0.1,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,1975
Jim Washington,PF,31,BUF,6,39,5,0.4,,0,7.9,11.3,9.5,9.4,0,0,,,0,0,0,-0.01,-2,-1.1,-3.1,0,1975
Slick Watts,PG,23,SEA,9,282,17.5,0.479,,0.28,3.7,8.3,6.1,33.2,4.4,0.8,,,0.1,0.3,0.4,0.07,0.1,2.2,2.2,0.3,1975
Nick Weatherspoon,SF,24,WSB,17,404,14.3,0.565,,0.316,6.7,13.3,10.2,5.8,1.6,0.3,,,0.6,0.5,1.1,0.136,1,-0.2,0.8,0.3,1975
Scott Wedman,SF,22,KCO,6,230,10,0.435,,0.265,4.7,11.1,8,11.3,1.3,0.7,,,-0.1,0.2,0,0.01,-0.9,-0.5,-1.4,0,1975
Bob Weiss,PG,32,BUF,7,113,10.7,0.53,,0.522,1.8,4.9,3.3,19.6,1.6,0.5,,,0.1,0,0.1,0.04,-1.5,-0.1,-1.6,0,1975
Owen Wells,SF,24,HOU,4,5,34.6,0.6,,0,0,22.7,11.3,66.4,0,0,,,0,0,0,0.079,6.6,1.4,8,0,1975
Paul Westphal*,SG,24,BOS,11,183,15.4,0.495,,0.222,2.7,5,3.8,24.6,1.5,0.6,,,0.3,0,0.3,0.083,1.3,-0.2,1.1,0.1,1975
Jo Jo White*,PG,28,BOS,11,462,14.7,0.47,,0.145,3.8,8,5.7,19.4,1.1,0.5,,,0.7,0.1,0.8,0.08,1.3,-0.9,0.4,0.3,1975
Jamaal Wilkes*,SF,21,GSW,17,503,16.5,0.473,,0.189,5.9,18.4,12,8.8,2.4,1.6,,,0.3,1,1.3,0.126,2.1,-0.2,1.9,0.5,1975
Bobby Wilson,SG,24,CHI,10,93,13.3,0.475,,0.293,2.2,10.2,6.1,7.5,2.1,0,,,0,0.1,0.2,0.081,-1.4,-0.1,-1.5,0,1975
